module	stringVA	funcEntry	refs
gluMap	0x00503EB4	0x004A6EE0	1
gluMap	0x00503EB4	0x004A7210	2
gluMap	0x00503EB4	0x004AE920	7
gluModem	0x005036D8	0x004B0C60	1
gluModem	0x005036D8	0x004B0DC0	1
gluModem	0x005036D8	0x004B1060	1
gluModem	0x005036D8	0x004B13A0	1
gluModem	0x005036D8	0x004B19C0	1
gluPopup	0x00503028	0x004B6E50	1
gluPopup	0x00503028	0x004B7180	1
gluPopup	0x00503028	0x004B73B0	1
gluPopup	0x00503028	0x004B75E0	1
gluPopup	0x00503028	0x004B7820	3
gluPopup	0x00503028	0x004B7A70	2
gluRdy	0x005047D0	0x0046D220	1
gluRdyP	0x00502E28	0x004F78B0	1
gluRdyT	0x0050307C	0x004F7550	1
gluRdyZ	0x0050317C	0x004F71F0	1
gluScore	0x005034D8	0x004B30A0	2
gluScore	0x005034D8	0x004B3FD0	2
gluScore	0x005034D8	0x004B4160	2
gluScore	0x005034D8	0x004B42D0	1
gluScore	0x005034D8	0x004B47C0	2
gluScore	0x005034D8	0x004B4AF0	3
grid	0x00501BC4	0x004D9B50	2
grid	0x00501BC4	0x004D9BF0	4
grid	0x00501BC4	0x004D9CD0	3
grid	0x00501BC4	0x004D9D60	5
grid	0x00501BC4	0x004D9EB0	2
grid	0x00501BC4	0x004DAB00	3
grid	0x00501BC4	0x004DB280	3
group	0x0050463C	0x0047AB40	1
group	0x0050463C	0x0047ABE0	1
group	0x0050463C	0x0047ACF0	1
init	0x00501AF8	0x004DA440	2
init	0x00501AF8	0x004DAA60	2
init	0x00501AF8	0x004DAF30	1
League	0x00504178	0x00499E20	1
League	0x00504178	0x00499EC0	2
League	0x00504178	0x0049A060	2
light	0x00502B98	0x004BD190	1
light	0x00502B98	0x004BDAC0	1
light	0x00502B98	0x004BDD60	1
light	0x00502B98	0x004BDE60	2
light	0x00502B98	0x004DE200	1
los	0x005056D0	0x0042AD60	3
los	0x005056D0	0x00480350	1
MapComn_creep	0x00506200	0x00414100	1
MapComn_creep	0x00506200	0x00414A30	5
maphdr	0x0050292C	0x004CAF90	3
maphdr	0x0050292C	0x004CB0A0	1
maphdr	0x0050292C	0x004CB140	1
maphdr	0x0050292C	0x004CBC40	3
maphdr	0x0050292C	0x004CBD30	2
maphdr	0x0050292C	0x004CBEF0	1
maphdr	0x0050292C	0x004CBFA0	3
maphdr	0x0050292C	0x004CC1F0	3
maphdr	0x0050292C	0x004CC650	2
maphdr	0x0050292C	0x004CC6E0	1
maphdr	0x0050292C	0x004CC7F0	3
maphdr	0x0050292C	0x004CC990	3
maphdr	0x0050292C	0x004CCAC0	3
maphdr	0x0050292C	0x004CCF90	2
maphdr	0x0050292C	0x004CD600	3
