field	addr	function	funcEntry	mnemonic	opIndex	baseReg	access	text
0xC8	0x004694AC	FUN_00469240	0x00469240	MOV	0	ESI	w	MOV dword ptr [ESI + 0xc8],ECX
0xC8	0x0046963F	FUN_00469500	0x00469500	MOV	0	ESI	w	MOV dword ptr [ESI + 0xc8],ECX
0xC8	0x0046D7AD	FUN_0046d610	0x0046D610	CMP	0	ESI	r	CMP byte ptr [ESI + 0xc8],0x2c
0xC8	0x0046D81F	FUN_0046d610	0x0046D610	CMP	0	ESI	r	CMP byte ptr [ESI + 0xc8],0x2c
0xC8	0x0046E3A5	FUN_0046e1c0	0x0046E1C0	CMP	0	ESI	r	CMP byte ptr [ESI + 0xc8],0x2c
0xC8	0x0046E3FE	FUN_0046e1c0	0x0046E1C0	CMP	0	ESI	r	CMP byte ptr [ESI + 0xc8],0x2c
0xC8	0x0046E470	FUN_0046e1c0	0x0046E1C0	ADD	1	ESI	r	ADD BL,byte ptr [ESI + 0xc8]
0xC8	0x004761C7	FUN_00476180	0x00476180	ADD	1	ECX	r	ADD BL,byte ptr [ECX + 0xc8]
0xC8	0x004761DB	FUN_00476180	0x00476180	MOV	1	ECX	r	MOV AL,byte ptr [ECX + 0xc8]
0xC8	0x0047CA56	FUN_0047c9f0	0x0047C9F0	CMP	0	EDI	r	CMP byte ptr [EDI + 0xc8],0x2c
0xC8	0x0049E5F2	FUN_0049e590	0x0049E590	CMP	0	ESI	r	CMP dword ptr [ESI + 0xc8],EBX
0xC8	0x0049E5FA	FUN_0049e590	0x0049E590	MOV	0	ESI	w	MOV dword ptr [ESI + 0xc8],EDI
0xC8	0x0049E851	FUN_0049e790	0x0049E790	CMP	0	EAX	r	CMP byte ptr [EAX + 0xc8],0x18
0xC8	0x0049E85A	FUN_0049e790	0x0049E790	MOV	0	EAX	w	MOV byte ptr [EAX + 0xc8],0x2c
0xC8	0x0049EED0	FUN_0049ecf0	0x0049ECF0	MOV	0	EDI	w	MOV byte ptr [EDI + 0xc8],0x2c
0xC8	0x0049FD42	FUN_0049fd00	0x0049FD00	CMP	0	ESI	r	CMP byte ptr [ESI + 0xc8],0x2c
0xC8	0x004C1656	FUN_004c1620	0x004C1620	CMP	0	ESI	r	CMP byte ptr [ESI + 0xc8],0x2c
0xC8	0x004CD311	FUN_004cd260	0x004CD260	MOV	0	ESI	w	MOV dword ptr [ESI + 0xc8],0x0
