field	addr	function	funcEntry	mnemonic	opIndex	baseReg	access	text
0xA4	0x00488C77	FUN_00488bf0	0x00488BF0	MOVZX	1	ESI	r	MOVZX EAX,byte ptr [ESI + 0xa4]
0xA4	0x0049F2D4	FUN_0049f170	0x0049F170	MOVZX	1	ESI	r	MOVZX EAX,byte ptr [ESI + 0xa4]
0xA4	0x0049FD5E	FUN_0049fd00	0x0049FD00	MOVZX	1	ESI	r	MOVZX EAX,byte ptr [ESI + 0xa4]
0xA4	0x004A03F7	FUN_004a0320	0x004A0320	MOV	0	ESI	w	MOV byte ptr [ESI + 0xa4],BL
0xA4	0x004D100A			MOV	1	ESI	r	MOV EAX,dword ptr [ESI + 0xa4]
0xA4	0x004D6C68	FUN_004d6930	0x004D6930	MOV	0	EAX	w	MOV dword ptr [EAX + 0xa4],ECX
0xA4	0x004E4D48	FUN_004e4d00	0x004E4D00	MOVZX	1	EDI	r	MOVZX EAX,byte ptr [EDI + 0xa4]
0xA4	0x004E4DC1	FUN_004e4d00	0x004E4D00	MOVZX	1	EDI	r	MOVZX EDX,byte ptr [EDI + 0xa4]
0xA4	0x004E4DFE	FUN_004e4d00	0x004E4D00	MOVZX	1	EDI	r	MOVZX EAX,byte ptr [EDI + 0xa4]
0xA4	0x004E4E3C	FUN_004e4d00	0x004E4D00	MOVZX	1	EDI	r	MOVZX EAX,byte ptr [EDI + 0xa4]
0xA4	0x004E9C59			MOVZX	1	ESI	r	MOVZX EAX,byte ptr [ESI + 0xa4]
