label	targetAddr	byteOffset	elemIndex	fromAddr	refType	opIndex	isPrimary	funcEntry	funcName	instruction
selectionHotkeys	0x0057FE60	0	0	0x00496970	DATA	1	true	0x00496940	FUN_00496940	MOV ECX,dword ptr [EAX + -0x4]
selectionHotkeys	0x0057FE60	0	0	0x004969EF	DATA	1	true	0x00496940	FUN_00496940	MOV EAX,dword ptr [EBX*0x4 + 0x57fe60]
selectionHotkeys	0x0057FE60	0	0	0x00496AC4	DATA	1	true	0x00496940	FUN_00496940	MOV ECX,dword ptr [EAX*0x4 + 0x57fe60]
selectionHotkeys	0x0057FE60	0	0	0x00496ACB	DATA	0	true	0x00496940	FUN_00496940	MOV dword ptr [EBX*0x4 + 0x57fe60],ECX
selectionHotkeys	0x0057FE60	0	0	0x00496AD2	DATA	0	true	0x00496940	FUN_00496940	MOV dword ptr [EAX*0x4 + 0x57fe60],0x0
selectionHotkeys	0x0057FE60	0	0	0x00496B67	DATA	1	true	0x00496B40	FUN_00496b40	CMP dword ptr [EAX],0x0
selectionHotkeys	0x0057FE60	0	0	0x00496B96	DATA	1	true	0x00496B40	FUN_00496b40	MOV EAX,dword ptr [EBX]
selectionHotkeys	0x0057FE60	0	0	0x004EEC7D	WRITE	0	true	0x004EEC30	FUN_004eec30	STOSD.REP ES:EDI
selectionHotkeys	0x0057FE60	0	0	0x00496605	DATA	1	true	0x004965D0	FUN_004965d0	MOV EAX,dword ptr [EAX]
selectionHotkeys	0x0057FE60	0	0	0x00496660	DATA	1	true	0x004965D0	FUN_004965d0	MOV ECX,dword ptr [EAX + -0x4]
selectionHotkeys	0x0057FE60	0	0	0x00496740	DATA	1	true	0x004965D0	FUN_004965d0	CMP dword ptr [EDX],EBX
selectionHotkeys	0x0057FE60	0	0	0x00496766	DATA	0	true	0x004965D0	FUN_004965d0	MOV dword ptr [EDX*0x4 + 0x57fe60],EBX
selectionHotkeys	0x0057FE60	0	0	0x004966B1	DATA	0	true	0x004965D0	FUN_004965d0	STOSD.REP ES:EDI
selectionHotkeys	0x0057FE60	0	0	0x00496813	DATA	1	true	0x004967E0	FUN_004967e0	CMP dword ptr [EAX + -0x4],EDI
selectionHotkeys	0x0057FE60	0	0	0x00496870	DATA	1	true	0x004967E0	FUN_004967e0	MOV EAX,dword ptr [ECX]
